movie_name,date,time,quadrant,tank_side,sample,test_line,alter,ref_dob,pat_line,pat_gen,mat_line,mat_gen,fps
20211203_1041_R.avi,20211203,1041,q1,R,20211203_1041_21-2_40-1_R_q1,Pair 4 F2,15.03./31.03./26.04.21,10.03.21,21-2,F16,40-1,F16,
20211203_1041_R.avi,20211203,1041,q2,R,20211203_1041_21-2_40-1_R_q2,Pair 4 F2,15.03./31.03./26.04.21,10.03.21,21-2,F16,40-1,F16,
20211203_1041_R.avi,20211203,1041,q3,R,20211203_1041_21-2_40-1_R_q3,Pair 4 F2,15.03./31.03./26.04.21,10.03.21,21-2,F16,40-1,F16,
20211203_1041_R.avi,20211203,1041,q4,R,20211203_1041_21-2_40-1_R_q4,Pair 4 F2,15.03./31.03./26.04.21,10.03.21,21-2,F16,40-1,F16,
20211207_1342_R.avi,20211207,1342,q1,R,20211207_1342_21-2_40-1_R_q1,Pair 4 F2,15.03./31.03./26.04.21,17.03.21,21-2,F16,40-1,F16,
20211207_1342_R.avi,20211207,1342,q2,R,20211207_1342_21-2_40-1_R_q2,Pair 4 F2,15.03./31.03./26.04.21,17.03.21,21-2,F16,40-1,F16,
20211207_1342_R.avi,20211207,1342,q3,R,20211207_1342_21-2_40-1_R_q3,Pair 4 F2,15.03./31.03./26.04.21,17.03.21,21-2,F16,40-1,F16,
20211207_1342_R.avi,20211207,1342,q4,R,20211207_1342_21-2_40-1_R_q4,Pair 4 F2,15.03./31.03./26.04.21,17.03.21,21-2,F16,40-1,F16,
20211207_1439_R.avi,20211207,1439,q1,R,20211207_1439_21-2_40-1_R_q1,Pair 4 F2,22.03./14.05.21,24.03.21,21-2,F16,40-1,F16,
20211207_1439_R.avi,20211207,1439,q2,R,20211207_1439_21-2_40-1_R_q2,Pair 4 F2,22.03./14.05.21,24.03.21,21-2,F16,40-1,F16,
20211207_1439_R.avi,20211207,1439,q3,R,20211207_1439_21-2_40-1_R_q3,Pair 4 F2,22.03./14.05.21,24.03.21,21-2,F16,40-1,F16,
20211207_1439_R.avi,20211207,1439,q4,R,20211207_1439_21-2_40-1_R_q4,Pair 4 F2,22.03./14.05.21,24.03.21,21-2,F16,40-1,F16,
20211209_1319_R.avi,20211209,1319,q1,R,20211209_1319_21-2_40-1_R_q1,Pair 4 F2,22.03./14.05.21,09.04.21,21-2,F16,40-1,F16,
20211209_1319_R.avi,20211209,1319,q2,R,20211209_1319_21-2_40-1_R_q2,Pair 4 F2,22.03./14.05.21,09.04.21,21-2,F16,40-1,F16,
20211209_1319_R.avi,20211209,1319,q3,R,20211209_1319_21-2_40-1_R_q3,Pair 4 F2,04.05.21,09.04.21,21-2,F16,40-1,F16,
20211209_1319_R.avi,20211209,1319,q4,R,20211209_1319_21-2_40-1_R_q4,Pair 4 F2,04.05.21,09.04.21,21-2,F16,40-1,F16,
20211209_1424_R.avi,20211209,1424,q1,R,20211209_1424_21-2_40-1_R_q1,Pair 4 F2,04.05.21,19.05.21,21-2,F16,40-1,F16,
20211209_1424_R.avi,20211209,1424,q2,R,20211209_1424_21-2_40-1_R_q2,Pair 4 F2,04.05.21,19.05.21,21-2,F16,40-1,F16,
20211209_1424_R.avi,20211209,1424,q3,R,20211209_1424_8-2_40-1_R_q3,Pair 7 F2,28.03./04.05./10.05.21,15.04.21,8-2,F14,40-1,F15,
20211209_1424_R.avi,20211209,1424,q4,R,20211209_1424_21-2_40-1_R_q4,Pair 4 F2,04.05.21,19.05.21,21-2,F16,40-1,F16,
20211210_0936_R.avi,20211210,936,q1,R,20211210_0936_8-2_40-1_R_q1,Pair 7 F2,28.03./04.05./10.05.21,09.04.21,8-2,F14,40-1,F15,
20211210_0936_R.avi,20211210,936,q2,R,20211210_0936_8-2_40-1_R_q2,Pair 7 F2,28.03./04.05./10.05.21,09.04.21,8-2,F14,40-1,F15,
20211210_0936_R.avi,20211210,936,q3,R,20211210_0936_8-2_40-1_R_q3,Pair 7 F2,28.03./04.05./10.05.21,09.04.21,8-2,F14,40-1,F15,
20211210_0936_R.avi,20211210,936,q4,R,20211210_0936_8-2_40-1_R_q4,Pair 7 F2,28.03./04.05./10.05.21,04.05.21,8-2,F14,40-1,F15,
20211210_1036_R.avi,20211210,1036,q1,R,20211210_1036_38-2_18-2_R_q1,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14,
20211210_1036_R.avi,20211210,1036,q2,R,20211210_1036_38-2_18-2_R_q2,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14,
20211210_1036_R.avi,20211210,1036,q3,R,20211210_1036_38-2_18-2_R_q3,Pair 10 F2,28.04./04.05/10.05.21,09.04.21,38-2,F14,18-2,F14,
20211210_1036_R.avi,20211210,1036,q4,R,20211210_1036_38-2_18-2_R_q4,Pair 10 F2,28.04./04.05/10.05.21,09.04.21,38-2,F14,18-2,F14,
20211210_1346_R.avi,20211210,1346,q1,R,20211210_1346_38-2_18-2_R_q1,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14,
20211210_1346_R.avi,20211210,1346,q2,R,20211210_1346_38-2_18-2_R_q2,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14,
20211210_1346_R.avi,20211210,1346,q3,R,20211210_1346_38-2_18-2_R_q3,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14,
20211210_1346_R.avi,20211210,1346,q4,R,20211210_1346_38-2_18-2_R_q4,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14,
20211213_1004_R.avi,20211213,1004,q1,R,20211213_1004_38-2_18-2_R_q1,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14,
20211213_1004_R.avi,20211213,1004,q2,R,20211213_1004_38-2_18-2_R_q2,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14,
20211213_1004_R.avi,20211213,1004,q3,R,20211213_1004_50-2_8-2_R_q3,Pair 9 F2,22.3/29.03/01/13/19/22.04/6/10/21.05.21,31.05.21,50-2,F15,8-2,F14,
20211213_1004_R.avi,20211213,1004,q4,R,20211213_1004_38-2_18-2_R_q4,Pair 10 F2,28.04./04.05/10.05.21,31.05.21,38-2,F14,18-2,F14,
20211213_1353_R.avi,20211213,1353,q1,R,20211213_1353_50-2_8-2_R_q1,Pair 9 F2,22.3/29.03/01/13/19/22.04/6/10/21.05.21,24.03.21,50-2,F15,8-2,F14,
20211213_1353_R.avi,20211213,1353,q2,R,20211213_1353_50-2_8-2_R_q2,Pair 9 F2,22.3/29.03/01/13/19/22.04/6/10/21.05.21,24.03.21,50-2,F15,8-2,F14,
20211213_1353_R.avi,20211213,1353,q3,R,20211213_1353_50-2_8-2_R_q3,Pair 9 F2,22.3/29.03/01/13/19/22.04/6/10/21.05.21,24.03.21,50-2,F15,8-2,F14,
20211213_1353_R.avi,20211213,1353,q4,R,20211213_1353_50-2_8-2_R_q4,Pair 9 F2,22.3/29.03/01/13/19/22.04/6/10/21.05.21,24.03.21,50-2,F15,8-2,F14,
20211215_0952_R.avi,20211215,952,q1,R,20211215_0952_50-2_38-2_R_q1,Pair 13 F2,22.03/28.04./4.5/10.5/25.5/31.5.21,09.04.21,50-2,F15,38-2,F15,
20211215_0952_R.avi,20211215,952,q2,R,20211215_0952_50-2_8-2_R_q2,Pair 9 F2,22.3/29.03/01/13/19/22.04/6/10/21.05.21,09.04.21,50-2,F15,8-2,F14,
20211215_0952_R.avi,20211215,952,q3,R,20211215_0952_50-2_38-2_R_q3,Pair 13 F2,22.03/28.04./4.5/10.5/25.5/31.5.21,09.04.21,50-2,F15,38-2,F15,
