sample,assay,video,total_seconds,success_count,frame_count,prop_success
20220411_1009_8-2_38-2_L_q3,novel_object,20220411_1009_L,600,17352,17400,0.9972413793103448
20220505_1011_38-2_40-1_L_q4,open_field,20220505_1011_L,600,17355,17400,0.9974137931034482
20211209_1319_21-2_40-1_R_q2,novel_object,20211209_1319_R,600,41300,41400,0.9975845410628019
20220408_0953_38-2_40-1_L_q4,novel_object,20220408_0953_L,600,17359,17400,0.9976436781609196
20211209_1319_21-2_40-1_R_q3,novel_object,20211209_1319_R,600,41304,41400,0.9976811594202899
20220321_1001_8-2_40-1_R_q2,open_field,20220321_1001_R,600,17361,17400,0.9977586206896552
20220328_1359_21-2_40-1_L_q4,open_field,20220328_1359_L,600,17361,17400,0.9977586206896552
20220503_1017_38-2_18-2_L_q3,novel_object,20220503_1017_L,600,17361,17400,0.9977586206896552
20220325_1011_21-2_40-1_R_q2,open_field,20220325_1011_R,600,17362,17400,0.997816091954023
20220411_1009_38-2_40-1_L_q2,novel_object,20220411_1009_L,600,17362,17400,0.997816091954023
20211117_1326_38-2_21-2_R_q1,novel_object,20211117_1326_R,600,17962,18000,0.9978888888888889
20211207_1342_21-2_40-1_R_q1,open_field,20211207_1342_R,600,40117,40200,0.9979353233830845
20211215_0952_50-2_38-2_R_q1,novel_object,20211215_0952_R,600,39522,39600,0.998030303030303
20211118_1017_38-2_40-1_R_q2,novel_object,20211118_1017_R,600,17965,18000,0.9980555555555556
20220325_1010_38-2_40-1_L_q1,open_field,20220325_1010_L,600,17368,17400,0.9981609195402299
20220506_1041_21-2_50-2_R_q3,open_field,20220506_1041_R,600,17368,17400,0.9981609195402299
20211217_0951_38-2_40-1_R_q2,novel_object,20211217_0951_R,599.3666666666667,17948,17981,0.9981647294366276
20220329_0919_21-2_40-1_L_q1,novel_object,20220329_0919_L,600,17369,17400,0.9982183908045977
20211125_1445_21-2_40-1_R_q1,novel_object,20211125_1445_R,600,17968,18000,0.9982222222222222
20211221_1452_38-2_18-2_R_q4,open_field,20211221_1452_R,600,17968,18000,0.9982222222222222
20220427_0948_38-2_21-2_L_q3,open_field,20220427_0948_L,600,17370,17400,0.9982758620689656
20211203_0937_21-2_50-2_R_q2,open_field,20211203_0937_R,600,40730,40800,0.9982843137254902
20220427_0951_18-2_21-2_R_q1,novel_object,20220427_0951_R,600,17371,17400,0.9983333333333333
20220506_1040_38-2_21-2_L_q4,open_field,20220506_1040_L,600,17371,17400,0.9983333333333333
20211221_1452_38-2_18-2_R_q3,novel_object,20211221_1452_R,600,17972,18000,0.9984444444444445
20211220_0954_50-2_18-2_R_q3,novel_object,20211220_0954_R,599.9666666666667,17972,17999,0.9984999166620367
20211215_0952_50-2_8-2_R_q2,novel_object,20211215_0952_R,600,39541,39600,0.998510101010101
20211217_0951_38-2_40-1_R_q2,open_field,20211217_0951_R,600,17974,18000,0.9985555555555555
20220428_1016_21-2_40-1_R_q3,open_field,20220428_1016_R,600,17375,17400,0.9985632183908046
20220505_1013_38-2_40-1_R_q2,open_field,20220505_1013_R,600,17376,17400,0.9986206896551724
20211207_1439_21-2_40-1_R_q4,novel_object,20211207_1439_R,600,41345,41400,0.9986714975845411
20220325_1011_21-2_40-1_R_q4,open_field,20220325_1011_R,600,17377,17400,0.9986781609195402
20211209_1424_8-2_40-1_R_q3,novel_object,20211209_1424_R,600,41347,41400,0.998719806763285
20211220_1527_38-2_21-2_R_q2,novel_object,20211220_1527_R,599.9,17974,17997,0.9987220092237595
20211210_1036_38-2_18-2_R_q4,novel_object,20211210_1036_R,600,41350,41400,0.998792270531401
20220323_1422_38-2_40-1_R_q4,open_field,20220323_1422_R,600,17379,17400,0.9987931034482759
20220325_1011_21-2_40-1_R_q1,novel_object,20220325_1011_R,600,17380,17400,0.9988505747126437
20220506_1041_50-2_38-2_R_q4,novel_object,20220506_1041_R,600,17382,17400,0.9989655172413793
20211207_1439_21-2_40-1_R_q1,novel_object,20211207_1439_R,600,41363,41400,0.9991062801932367
20220329_0921_38-2_40-1_R_q3,open_field,20220329_0921_R,600,17385,17400,0.9991379310344828
20220503_1017_50-2_18-2_L_q1,open_field,20220503_1017_L,600,17385,17400,0.9991379310344828
20211125_0910_8-2_40-1_R_q4,open_field,20211125_0910_R,600,17985,18000,0.9991666666666666
20220408_0953_38-2_40-1_L_q3,open_field,20220408_0953_L,600,17386,17400,0.9991954022988506
20220505_1011_38-2_40-1_L_q2,novel_object,20220505_1011_L,600,17388,17400,0.9993103448275862
20211203_0937_21-2_40-1_R_q1,open_field,20211203_0937_R,600,40773,40800,0.9993382352941177
20220328_1359_21-2_40-1_L_q3,novel_object,20220328_1359_L,600,17389,17400,0.999367816091954
20220503_1019_38-2_18-2_R_q3,open_field,20220503_1019_R,600,17389,17400,0.999367816091954
20211220_1423_38-2_21-2_R_q3,open_field,20211220_1423_R,600,17989,18000,0.9993888888888889
20211207_1439_21-2_40-1_R_q1,open_field,20211207_1439_R,600,41375,41400,0.9993961352657005
20220401_0955_50-2_18-2_R_q2,open_field,20220401_0955_R,600,17390,17400,0.9994252873563219
20211207_1439_21-2_40-1_R_q3,open_field,20211207_1439_R,600,41377,41400,0.9994444444444445
20220321_0959_8-2_40-1_L_q4,open_field,20220321_0959_L,600,17990,18000,0.9994444444444445
20211210_1346_38-2_18-2_R_q2,open_field,20211210_1346_R,600,40778,40800,0.9994607843137255
20220411_1009_38-2_40-1_L_q1,open_field,20220411_1009_L,600,17391,17400,0.9994827586206897
20220427_0951_18-2_21-2_R_q1,open_field,20220427_0951_R,600,17391,17400,0.9994827586206897
20220328_1400_38-2_18-2_R_q4,open_field,20220328_1400_R,600,17392,17400,0.9995402298850574
20220321_0959_8-2_40-1_L_q3,novel_object,20220321_0959_L,600,17992,18000,0.9995555555555555
20211210_1036_38-2_18-2_R_q1,novel_object,20211210_1036_R,600,41382,41400,0.9995652173913043
20211210_0936_8-2_40-1_R_q3,open_field,20211210_0936_R,600,40783,40800,0.9995833333333334
20211203_1041_21-2_40-1_R_q2,novel_object,20211203_1041_R,600,41383,41400,0.9995893719806763
20220323_1421_38-2_40-1_L_q1,open_field,20220323_1421_L,600,17393,17400,0.9995977011494253
20220328_1359_21-2_40-1_L_q4,novel_object,20220328_1359_L,600,17393,17400,0.9995977011494253
20211130_0944_21-2_40-1_R_q2,novel_object,20211130_0944_R,600,17993,18000,0.9996111111111111
20220411_1010_8-2_38-2_R_q2,open_field,20220411_1010_R,600,17394,17400,0.9996551724137931
20220325_1010_38-2_40-1_L_q4,open_field,20220325_1010_L,600,17396,17400,0.9997701149425288
20220505_1013_38-2_40-1_R_q4,open_field,20220505_1013_R,600,17396,17400,0.9997701149425288
20211118_1017_38-2_40-1_R_q4,novel_object,20211118_1017_R,600,17996,18000,0.9997777777777778
20211217_1416_50-2_18-2_R_q4,open_field,20211217_1416_R,600,17996,18000,0.9997777777777778
20211221_1452_38-2_18-2_R_q1,open_field,20211221_1452_R,600,17996,18000,0.9997777777777778
